Breed,Adaptability,All_Around_Friendliness,Exercise_Needs,Health_Grooming,Trainability,Adapts_Well_to_Apartment_Living,Affectionate_with_Family,Amount_Of_Shedding,Dog_Friendly,Drooling_Potential,Easy_To_Groom,Easy_To_Train,Energy_Level,Exercise_Needs,Friendly_Toward_Strangers,General_Health,Good_For_Novice_Owners,Incredibly_Kid_Friendly_Dogs,Intelligence,Intensity,Potential_For_Mouthiness,Potential_For_Playfulness,Potential_For_Weight_Gain,Prey_Drive,Sensitivity_Level,Size,Tendency_To_Bark_Or_Howl,Tolerates_Being_Alone,Tolerates_Cold_Weather,Tolerates_Hot_Weather,Wanderlust_Potential
Affenpinscher,3.0,3.0,4.0,2.0,3.0,5.0,5.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0
Afghan Hound,4.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,5.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0
Airedale Terrier,2.0,4.0,5.0,3.0,5.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0
Akita,3.0,2.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0
Alaskan Klee Kai,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0
Alaskan Malamute,2.0,4.0,5.0,3.0,4.0,1.0,4.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,5.0
American Bulldog,2.0,3.0,4.0,3.0,3.0,1.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0
American English Coonhound,3.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0
American Eskimo Dog,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,3.0
American Foxhound,2.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0
American Pit Bull Terrier,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0
American Staffordshire Terrier,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0
American Water Spaniel,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,5.0
Anatolian Shepherd Dog,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0
Appenzeller Sennenhunde,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0
Australian Cattle Dog,3.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0
Australian Kelpie,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0
Australian Shepherd,3.0,4.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0
Australian Terrier,3.0,3.0,5.0,3.0,4.0,5.0,4.0,1.0,2.0,1.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,1.0,5.0,3.0,5.0,2.0,1.0,5.0,2.0,3.0,4.0,4.0
Azawakh,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,5.0,2.0
Barbet,3.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,1.0,1.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0
